[data] 412223 positions  [0s]
[tok] done  [4s]
/Users/kav/code/remote/github/catspace/experiments/train_dtm_tok.py:42: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.enc = nn.TransformerEncoder(enc, num_layers=layers)
  step 0 loss 0.8740  [10s]
  step 500 loss 0.2911  [87s]
  step 1000 loss 0.3421  [166s]
  step 1500 loss 0.2586  [241s]
  step 2000 loss 0.3150  [314s]
  step 2500 loss 0.2627  [390s]
  step 3000 loss 0.2821  [470s]
  step 3500 loss 0.2727  [547s]
  step 4000 loss 0.2533  [630s]
  step 4500 loss 0.2705  [706s]
  step 5000 loss 0.2751  [779s]
  step 5500 loss 0.2615  [855s]
  step 6000 loss 0.2820  [935s]
  step 6500 loss 0.2620  [1015s]
  step 7000 loss 0.2634  [1090s]
  step 7500 loss 0.2190  [1171s]
VERDICT DTM_TOK overall: spearman +0.667 MAE 11.78 plies (n=41222)
    class BBBKk   : spearman +0.516 MAE 5.98 (n=313)
    class BBKNk   : spearman +0.323 MAE 11.81 (n=289)
    class BBKPk   : spearman +0.328 MAE 17.97 (n=310)
    class BBKQk   : spearman +0.255 MAE 9.62 (n=320)
    class BBKRk   : spearman +0.457 MAE 7.67 (n=300)
    class BBKbk   : spearman +0.614 MAE 3.55 (n=304)
    class BBKk    : spearman +0.691 MAE 2.93 (n=299)
    class BBKkn   : spearman +0.172 MAE 20.24 (n=314)
    class BBKkp   : spearman +0.250 MAE 24.01 (n=304)
    class BBKkq   : spearman +0.627 MAE 3.15 (n=311)
    class BBKkr   : spearman +0.562 MAE 3.35 (n=292)
    class BKNNk   : spearman +0.506 MAE 8.03 (n=314)
    class BKNPk   : spearman +0.255 MAE 17.96 (n=342)
    class BKNPkr  : spearman +0.211 MAE 20.78 (n=300)
    class BKNQk   : spearman +0.443 MAE 17.33 (n=306)
    class BKNRk   : spearman +0.433 MAE 15.38 (n=303)
    class BKNbk   : spearman +0.652 MAE 4.90 (n=281)
    class BKNk    : spearman +0.611 MAE 5.39 (n=324)
    class BKNkn   : spearman +0.459 MAE 8.73 (n=288)
    class BKNkp   : spearman +0.201 MAE 26.45 (n=298)
    class BKNkq   : spearman +0.581 MAE 4.69 (n=298)
    class BKNkr   : spearman +0.584 MAE 5.25 (n=290)
    class BKPPk   : spearman +0.402 MAE 16.39 (n=300)
    class BKPQk   : spearman +0.401 MAE 13.99 (n=306)
    class BKPRk   : spearman +0.411 MAE 13.52 (n=320)
    class BKPbk   : spearman +0.428 MAE 17.41 (n=274)
    class BKPk    : spearman +0.477 MAE 13.83 (n=293)
